Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.067,-0.00494956,2.87034,0.00046406,0.00899547,0.00981169,0.00494956
0.068,-0.0070492,3.5493,0.000474821,0.012527,0.013361,0.0070492
0.069,-0.00964519,-1.69607,0.000486489,0.0108096,0.0116649,0.00964519
0.07,-0.00839965,0.574054,0.000497576,0.0113641,0.012239,0.00839965
0.071,-0.0088167,-0.348701,0.000508756,0.0109954,0.0118903,0.0088167
0.072,-0.00855798,-0.150258,0.000519666,0.0108257,0.01174,0.00855798
0.073,-0.00844464,-0.521543,0.000530222,0.0102852,0.0112185,0.00844464
0.074,-0.00805949,2.5452,0.00054177,0.0128108,0.0137637,0.00805949
0.075,-0.00991991,-0.542609,0.000554298,0.0122457,0.0132211,0.00991991
0.076,-0.00951878,0.153599,0.00056661,0.0123775,0.0133747,0.00951878
0.077,-0.00962756,-2.20407,0.000577875,0.0101525,0.0111706,0.00962756
0.078,-0.00801004,-0.33254,0.000587852,0.009802,0.0108381,0.00801004
0.079,-0.00776341,-0.161703,0.000597564,0.00962282,0.0106764,0.00776341
0.08,-0.00764196,-2.44063,0.000605959,0.00716615,0.00823572,0.00764196
0.081,-0.00585195,0.181674,0.000613209,0.00733473,0.0084174,0.00585195
0.082,-0.0059826,1.76166,0.000621418,0.00908219,0.0101791,0.0059826
0.083,-0.00727005,-1.17457,0.000629905,0.00789186,0.00900448,0.00727005
0.084,-0.00640715,-1.53782,0.000637021,0.00634051,0.00746666,0.00640715
0.085,-0.0052786,-0.608841,0.000643051,0.00572036,0.00685782,0.0052786
0.086,-0.00483065,-1.16031,0.000648186,0.00455009,0.00569751,0.00483065
0.087,-0.00397908,-2.27676,0.000651594,0.00226595,0.00342075,0.00397908
0.088,-0.00231038,-0.926643,0.000653394,0.00133519,0.00249411,0.00231038
0.089,-0.00163082,1.42179,0.000655439,0.00275331,0.0039159,0.00163082
0.09,-0.002671,0.752665,0.000658566,0.00350017,0.00466856,0.002671
0.091,-0.00322087,-0.758079,0.000661684,0.00273576,0.00391049,0.00322087
0.092,-0.0026644,-0.891005,0.000663971,0.0018398,0.00301948,0.0026644
0.093,-0.0020108,-1.1997,0.000665209,0.00063685,0.00181978,0.0020108
0.094,-0.00113142,1.62014,0.000666655,0.00225441,0.00343992,0.00113142
0.095,-0.002317,0.495607,0.000669155,0.0027452,0.00393553,0.002317
0.096,-0.00267878,-1.53618,0.00067113,0.00120437,0.00239935,0.00267878
0.097,-0.00155279,3.59454,0.000674129,0.00479436,0.00599389,0.00155279
0.098,-0.00418384,1.41315,0.000679626,0.00619783,0.00740704,0.00418384
0.099,-0.00521675,-0.410448,0.000685613,0.00577617,0.00699659,0.00521675
0.1,-0.00491407,-0.82696,0.00069097,0.00493894,0.00616963,0.00491407
0.101,-0.00430653,1.53208,0.00069667,0.00646101,0.00770171,0.00430653
0.102,-0.00542646,0.327256,0.000703289,0.00677623,0.00802896,0.00542646
0.103,-0.00566383,-1.17463,0.000709472,0.00558975,0.00685433,0.00566383
0.104,-0.00480145,0.719122,0.000715416,0.00629813,0.00757346,0.00480145
0.105,-0.00532596,-3.04319,0.000720187,0.00324484,0.00453026,0.00532596
0.106,-0.00309557,-3.82024,0.000721519,-0.000579833,0.000710021,0.00309557
0.107,-0.000297052,-0.215808,0.000720832,-0.00079525,0.000494213,0.000297052
0.108,-0.000138668,-2.42595,0.000718824,-0.00321933,-0.00193174,0.000138668
0.109,0.00163789,-2.05167,0.000714582,-0.00526512,-0.0039834,-0.00163789
0.11,0.00313975,0.968222,0.000709805,-0.00428898,-0.00301518,-0.00313975
0.111,0.00242995,1.29137,0.000706165,-0.00299154,-0.00172382,-0.00242995
0.112,0.0014838,2.61365,0.000704482,-0.000374729,0.000889831,-0.0014838
